id;tabla;fuente;duplicado_en_b;precio;area;precio_m2;lat;lon;manzana;barrio;localidad;codigo_predial;estrato;estrato_num;avaluo;anio;habitaciones;banios;plantas;piso;anio_construccion;uso;condicion_predio;clase_unidad_principal;origen_predio;origen_caract;origen_atributos;npn_remapeado;area_es_suma_pisos;area_confiable;es_vis;precio_valido;area_valida;vivienda_sin_ambientes;vivienda_en_sotano;precio_m2_en_rango;apto_modelo
B:18511;B;observatorio;False;70000000,0;92,0;760869,5652173914;10,971273651321665;-74,78251860108205;"=""08001010500000106""";SAN ROQUE;SURORIENTE;"=""080010105000001060042000000000""";Medio_Bajo_3;3;66360000,0;2019;3,0;1,0;1,0;1,0;1998,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18512;B;observatorio;False;155000000,0;96,0;1614583,3333333333;10,978638303490513;-74,79341129924572;"=""08001010500000731""";LUCERO;SUROCCIDENTE;"=""080010105000007310037000000000""";Medio_Bajo_3;3;84209000,0;2019;1,0;0,0;1,0;1,0;1998,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18513;B;observatorio;False;30000000,0;48,0;625000,0;10,978807842698489;-74,79099657321264;"=""08001010500000683""";LUCERO;SUROCCIDENTE;"=""080010105000006830059000000000""";Medio_Bajo_3;3;33295000,0;2019;2,0;1,0;1,0;1,0;2011,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18514;B;observatorio;False;145624000,0;101,0;1441821,7821782178;10,977758980669046;-74,79186465537218;"=""08001010500000682""";LUCERO;SUROCCIDENTE;"=""080010105000006820006000000000""";Medio_Bajo_3;3;91825000,0;2019;3,0;2,0;1,0;1,0;1995,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18515;B;observatorio;False;40000000,0;102,0;392156,862745098;10,96594204765076;-74,78041543120243;"=""08001010600000430""";SAN ROQUE;SURORIENTE;"=""080010106000004300017000000000""";Bajo_2;2;43221000,0;2019;3,0;2,0;1,0;1,0;2002,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18516;B;observatorio;False;71880000,0;54,0;1331111,111111111;10,96613937179284;-74,78028869269545;"=""08001010600000431""";SAN ROQUE;SURORIENTE;"=""080010106000004310019000000000""";Bajo_2;2;77493000,0;2019;3,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18517;B;observatorio;False;71880000,0;35,0;2053714,2857142857;10,966164011444445;-74,78035130477446;"=""08001010600000431""";SAN ROQUE;SURORIENTE;"=""080010106000004310020000000000""";No_Aplica;;52353000,0;2019;0,0;0,0;1,0;1,0;1986,0;Industrial_Bodega_Casa_Bomba;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18518;B;observatorio;False;72374100,0;50,37;1436849,3150684931;10,97293755787026;-74,77839763517069;"=""08001010600000441""";SAN ROQUE;SURORIENTE;"=""080010106000004410023000000000""";No_Aplica;;103007000,0;2019;4,0;2,0;1,0;1,0;1960,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18519;B;observatorio;False;25000000,0;98,0;255102,04081632654;10,967426403899236;-74,78142028843367;"=""08001010600000448""";SAN ROQUE;SURORIENTE;"=""080010106000004480012000000000""";Bajo_2;2;34886000,0;2019;3,0;1,0;1,0;1,0;1990,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;False;True
B:18520;B;observatorio;False;20000000,0;52,0;384615,3846153846;10,967381056937278;-74,78132544004579;"=""08001010600000448""";SAN ROQUE;SURORIENTE;"=""080010106000004480015000000000""";Bajo_2;2;26960000,0;2019;2,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18521;B;observatorio;False;10000000,0;28,0;357142,85714285716;10,966540893154704;-74,77941664310019;"=""08001010600000390""";SAN ROQUE;SURORIENTE;"=""080010106000003900024000000000""";Bajo_2;2;10860000,0;2019;1,0;1,0;1,0;1,0;1996,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18524;B;observatorio;False;225000000,0;241,93;930021,0804778241;10,975528218846794;-74,78352603885558;"=""08001010500000266""";CHIQUINQUIRA;SURORIENTE;"=""080010105000002660024000000000""";Medio_Bajo_3;3;173175000,0;2019;5,0;2,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18525;B;observatorio;False;150000000,0;128,58;1166588,8940737282;10,974583977435417;-74,78384313365896;"=""08001010500000266""";CHIQUINQUIRA;SURORIENTE;"=""080010105000002660902000000000""";Medio_Bajo_3;3;50116000,0;2019;2,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18526;B;observatorio;False;75000000,0;64,0;1171875,0;10,971736943430837;-74,78822863369851;"=""08001010500000783""";CHIQUINQUIRA;SURORIENTE;"=""080010105000007830005000000000""";Medio_Bajo_3;3;51696000,0;2019;3,0;1,0;1,0;1,0;2011,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18527;B;observatorio;False;60000000,0;49,0;1224489,7959183673;10,973545769550027;-74,78520959058946;"=""08001010500000333""";CHIQUINQUIRA;SURORIENTE;"=""080010105000003330037000000000""";Medio_Bajo_3;3;71317000,0;2019;2,0;1,0;1,0;1,0;1991,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18528;B;observatorio;False;140000000,0;40,0;3500000,0;10,977029099632691;-74,78459700517666;"=""08001010500000335""";CHIQUINQUIRA;SURORIENTE;"=""080010105000003350007000000000""";No_Aplica;;156862000,0;2019;0,0;1,0;1,0;1,0;1986,0;Comercial_Oficinas_Consultorios;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
